staxid	qaccver	saccver	length	qlen	qstart	qend	evalue	bitscore	Query	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal	grupo
1470492	SRR13258790.742175	CP135021.1	323	323	1	323	1.07e-161	584	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
1470492	SRR13258790.509805	CP135021.1	347	347	1	347	4.1e-171	616	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
1470492	SRR13258790.73303	CP135021.1	218	221	1	218	2.06e-107	403	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
1470492	SRR13258790.650418	CP135021.1	216	216	1	216	2.6e-106	399	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
1470492	SRR13258790.214678	CP135021.1	215	215	1	215	1.55e-103	390	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
1470492	SRR13258790.464075	CP135018.1	285	285	1	285	2.06e-138	507	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
1470492	SRR13258790.609901	CP135018.1	264	265	1	264	4.16e-125	462	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
1470492	SRR13258790.591380	CP135021.1	440	440	1	440	0	800	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
1470492	SRR13258790.175010	CP135021.1	274	272	1	272	3.29e-131	483	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
1470492	SRR13258790.130504	CP135018.1	265	265	1	265	8.88e-132	484	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
1470492	SRR13258790.648573	CP135018.1	373	373	1	373	0	671	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
1470492	SRR13258790.737353	CP135021.1	229	229	1	229	4.66e-104	392	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
1470492	SRR13258790.343980	CP135021.1	340	339	1	339	6.69e-169	608	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
1470492	SRR13258790.791759	CP135021.1	237	237	1	237	6.19e-113	422	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
1470492	SRR13258790.72056	CP135021.1	207	207	1	207	2.48e-101	383	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
1470492	SRR13258790.491930	CP135021.1	222	220	1	220	4.44e-104	392	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
